year,month,pkg_name,counts,Month
2019,6,panel,3325.0,2019-06-01
2019,6,voila,1374.0,2019-06-01
2019,7,bokeh,332256.0,2019-07-01
2019,7,keras,100731.0,2019-07-01
2019,7,matplotlib,697976.0,2019-07-01
2019,7,networkx,328819.0,2019-07-01
2019,7,pandas,1023263.0,2019-07-01
2019,7,plotly,94988.0,2019-07-01
2019,7,scikit-learn,727256.0,2019-07-01
2019,7,statsmodels,337661.0,2019-07-01
2019,7,tensorflow,258196.0,2019-07-01
2019,7,xgboost,39478.0,2019-07-01
2019,7,panel,6667.0,2019-07-01
2019,7,voila,2803.0,2019-07-01
